station_name,MONTH,wind_speed_mph,data_source
ALYESKA AK US,no_data,no_data,no_data
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,5.435708567367017,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,5.624310942018801,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,7.603196982774368,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,5.96766376278472,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,8.464599994307447,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,9.87237003989214,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,8.435134900021177,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,7.475114021897177,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,7.513017758832829,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,6.970298784073771,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,6.268408167323211,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,5.821460771135568,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,5.435708567367017,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,5.624310942018801,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,7.603196982774368,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,5.96766376278472,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,8.464599994307447,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,9.87237003989214,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,8.435134900021177,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,7.475114021897177,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,7.513017758832829,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,6.970298784073771,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,6.268408167323211,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,5.821460771135568,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,5.435708567367017,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,5.624310942018801,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,7.603196982774368,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,5.96766376278472,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,8.464599994307447,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,9.87237003989214,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,8.435134900021177,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,7.475114021897177,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,7.513017758832829,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,6.970298784073771,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,6.268408167323211,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,5.821460771135568,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,5.435708567367017,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,5.624310942018801,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,7.603196982774368,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,5.96766376278472,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,8.464599994307447,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,9.87237003989214,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,8.435134900021177,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,7.475114021897177,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,7.513017758832829,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,6.970298784073771,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,6.268408167323211,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,5.821460771135568,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,5.435708567367017,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,5.624310942018801,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,7.603196982774368,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,5.96766376278472,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,8.464599994307447,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,9.87237003989214,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,8.435134900021177,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,7.475114021897177,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,7.513017758832829,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,6.970298784073771,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,6.268408167323211,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,5.821460771135568,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,6.0,5.435708567367017,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,6.0,5.624310942018801,tmy3
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,6.0,7.603196982774368,tmy3
